Date,close,high,low,open,volume,sma_20,ema_9,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,rsi_14,cci_20,roc_10,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,atr_14,obv,return,ret_lag_1,ret_lag_2,ret_lag_3,ret_lag_5,roll_std_20,roll_mean_5,target_reg
2015-03-09,8756.75,8891.2998046875,8740.4501953125,8891.150390625,155500,8784.382373046876,8853.904162319066,77.20593331038799,-8.181184119699637,85.38711743008763,48.53001963388648,2570.813024072694,-0.8699693530759576,8526.459599868569,8784.382373046876,9042.305146225182,5.8723029628057,0.4464328552566916,125.61283712994586,1537000.0,-2.025118178512486,0.16922784950608172,-0.8181143184660233,0.4410081781896391,1.8511375395821705,0.9827920502160439,-0.1929973320308953,-0.5104655872612551
2015-03-10,8712.0498046875,8778.0,8677.349609375,8769.75,163800,8786.932373046875,8825.533290792753,61.154390072175374,-19.38618188632981,80.54057195850518,46.17943255403976,2343.44611568816,-0.4900129603018114,8533.168797453043,8786.932373046875,9040.695948640707,5.7759310034575595,0.35245603474781123,123.82980523673545,1373200.0,-0.5104655872612551,-2.025118178512486,0.16922784950608172,-0.8181143184660233,1.268009809128312,0.9805933372119506,-0.5486924113088087,-0.13888361116221049
2015-03-11,8699.9501953125,8755.599609375,8682.349609375,8728.75,172800,8795.612402343748,8800.416671696703,46.91626752716729,-26.899443545070312,73.8157110722376,45.53649018882181,1714.8829221943724,-0.709298191451776,8568.949453979796,8795.612402343748,9022.2753507077,5.154000380997993,0.28897696398609574,120.21696200554007,1200400.0,-0.13888361116221049,-0.5104655872612551,-2.025118178512486,0.16922784950608172,0.4410081781896391,0.9082599225423237,-0.6646707691791787,0.8741406902360804
2015-03-12,8776.0,8787.2001953125,8732.900390625,8740.650390625,173900,8806.134912109374,8795.533337357363,41.29303607777729,-26.018139995568248,67.31117607334554,50.22708545124125,907.852079719979,0.09980324503122416,8606.51536817909,8806.134912109374,9005.754456039656,4.5336471885250065,0.42451913395840096,117.86217900514436,1374300.0,0.8741406902360804,-0.13888361116221049,-0.5104655872612551,-2.025118178512486,-0.8181143184660233,0.921415732659219,-0.3262197674387579,-1.4613719234275346
2015-03-13,8647.75,8849.75,8631.75,8844.0498046875,179200,8807.152392578126,8765.976669885891,26.18602527181247,-32.90012064122645,59.08614591303892,43.43360720769607,471.7714323469645,-0.41570974854317155,8611.194896167082,8807.152392578126,9003.10988898917,4.44996265935352,0.09327304263022204,125.0148805047769,1195100.0,-1.4613719234275346,0.8741406902360804,-0.13888361116221049,-0.5104655872612551,0.16922784950608172,0.9748112930605164,-0.6523397220254812,-0.16882552542568652
2015-03-16,8633.150390625,8663.5498046875,8612.0,8656.75,163300,8803.232421875002,8739.411414033713,12.886990698514637,-36.95932417161943,49.846314870134066,42.72516166645655,602.6082959023688,-2.390715556257294,8596.388272375896,8803.232421875002,9010.076571374108,4.699277256047954,0.08886429308763896,119.76737508925713,1031800.0,-0.16882552542568652,-1.4613719234275346,0.8741406902360804,-0.13888361116221049,-2.025118178512486,0.9487906778214997,-0.28108119140812127,1.0442238346779709
2015-03-17,8723.2998046875,8742.5498046875,8630.7998046875,8689.099609375,177000,8799.122412109375,8736.189092164472,9.512065123868524,-32.26739979701244,41.77946492088096,48.329561071413764,1044.3835493270053,-2.606416337538728,8589.223878657984,8799.122412109375,9009.020945560766,4.770896996785225,0.3193827127443129,119.19470544002448,1208800.0,1.0442238346779709,-0.16882552542568652,-1.4613719234275346,0.8741406902360804,-0.5104655872612551,0.946693657452202,0.02985669297972393,-0.42873012391942966
2015-03-18,8685.900390625,8747.25,8664.0,8742.900390625,156400,8792.949951171875,8726.131351856578,3.7760640205269738,-30.40272072028319,34.178784740810165,46.305228731415234,1347.7233839034607,-3.449766395720439,8577.140450262266,8792.949951171875,9008.759452081484,4.908693944763027,0.25198135370390284,116.62722648002273,1052400.0,-0.42873012391942966,1.0442238346779709,-0.16882552542568652,-1.4613719234275346,-0.13888361116221049,0.9503133238914776,-0.028112609571719904,-0.590036699653107
2015-03-19,8634.650390625,8788.2001953125,8614.650390625,8749.4501953125,163500,8781.227490234374,8707.835159610264,-4.8493050948600285,-31.222471868536157,26.37316677367613,43.60957226901105,1426.540554378762,-3.2277404962834884,8557.509186694168,8781.227490234374,9004.945793774581,5.095376558436835,0.1724070018190725,120.69312492341396,888900.0,-0.590036699653107,-0.42873012391942966,1.0442238346779709,-0.16882552542568652,0.8741406902360804,0.9402815929088413,-0.3209480875495574,-0.7383043564707203
2015-03-20,8570.900390625,8627.900390625,8553.0,8627.900390625,174600,8765.00751953125,8680.44820581321,-16.637280269651455,-34.40835763466207,17.771077365010612,40.454749074764756,1709.0495234355067,-4.104496202903415,8529.38955320127,8765.00751953125,9000.625485861228,5.376332326126283,0.0880892872269225,117.90435818781296,714300.0,-0.7383043564707203,-0.590036699653107,-0.42873012391942966,1.0442238346779709,-1.4613719234275346,0.9440895481023599,-0.17633457415819453,-0.2333477124745964
2015-03-23,8550.900390625,8608.349609375,8540.5498046875,8591.5498046875,150700,8750.87255859375,8654.53864277557,-27.278716315204292,-36.03983494417192,8.761118628967631,39.48956523827663,2042.6125259811943,-2.350753525851486,8499.208112317297,8750.87255859375,9002.537004870203,5.75175662978446,0.10270079678024667,114.32546150921918,563600.0,-0.2333477124745964,-0.7383043564707203,-0.590036699653107,-0.42873012391942966,-0.16882552542568652,0.9365242356800284,-0.1892390115679765,-0.0929749494125387
2015-03-24,8542.9501953125,8627.75,8535.849609375,8537.0498046875,156700,8740.27255859375,8632.220953282955,-35.939358810979684,-35.760381951957854,-0.17897685902183103,39.09031772956104,2544.549980427336,-1.9409853383071376,8472.01929991947,8740.27255859375,9008.52581726803,6.138327080212705,0.13220882337753162,112.72367073177496,406900.0,-0.0929749494125387,-0.2333477124745964,-0.7383043564707203,-0.590036699653107,1.0442238346779709,0.920558019063697,-0.4166787683860784,-0.14222710360253243
